epoch,lr,train_loss,train_top1,train_top3,train_top5
1,0.0002,5.2955078125,0.0,0.03,0.08
2,0.0004,4.92619140625,0.03,0.12,0.13
3,0.0006,4.51205078125,0.03,0.05,0.07
4,0.0008,4.2449609375,0.03,0.09,0.13
5,0.001,4.3933203125,0.0,0.05,0.09
6,0.001,4.0784375,0.03,0.08,0.13
7,0.000975530705321762,4.03404296875,0.04,0.08,0.12
8,0.0009045180463377549,4.03326171875,0.04,0.14,0.18
9,0.0007939132368836219,3.79720703125,0.08,0.19,0.23
10,0.0006545430463377549,3.683349609375,0.04,0.17,0.24
11,0.0005000499999999999,3.5792572021484377,0.09,0.21,0.31
12,0.00034555695366224505,3.4596038818359376,0.08,0.23,0.25
13,0.0002061867631163781,3.353428955078125,0.18,0.31,0.43
14,9.558195366224507e-05,3.253828125,0.15,0.28,0.43
15,2.456929467823799e-05,3.225655212402344,0.16,0.31,0.46
16,0.001,3.16434326171875,0.15,0.35,0.45
17,0.000993844785880539,3.7898263549804687,0.09,0.28,0.37
18,0.000975530705321762,3.507607727050781,0.07,0.18,0.36
19,0.0009455087117679744,3.243599548339844,0.13,0.35,0.46
20,0.0009045180463377549,3.186368408203125,0.12,0.23,0.35
21,0.0008535680352542143,3.12862060546875,0.15,0.33,0.46
22,0.0007939132368836219,3.182347640991211,0.14,0.33,0.48
23,0.0007270225503447864,2.78712158203125,0.2,0.44,0.59
24,0.0006545430463377549,2.610437316894531,0.26,0.46,0.63
25,0.0005782594107968633,2.622705383300781,0.21,0.42,0.59
26,0.0005000499999999999,2.4511997222900392,0.29,0.54,0.72
27,0.0004218405892031367,2.4274868774414062,0.29,0.56,0.65
28,0.00034555695366224505,2.139770812988281,0.36,0.6,0.71
29,0.0002730774496552136,2.177049255371094,0.36,0.61,0.68
30,0.0002061867631163781,2.031534881591797,0.45,0.63,0.75
31,0.0001465319647457856,1.9462363052368163,0.44,0.64,0.79
32,9.558195366224507e-05,1.8422447204589845,0.45,0.63,0.77
33,5.459128823202553e-05,2.0020731353759764,0.39,0.63,0.74
34,2.456929467823799e-05,1.7495508193969727,0.46,0.7,0.78
35,6.255214119460927e-06,1.7215237045288085,0.42,0.73,0.8
36,0.001,1.8256594467163085,0.45,0.68,0.81
37,0.0009984588209998775,1.9187104034423828,0.35,0.68,0.8
38,0.000993844785880539,2.1315982055664064,0.33,0.66,0.8
39,0.0009861863417028184,1.5982178115844727,0.46,0.73,0.84
40,0.000975530705321762,1.8925138473510743,0.41,0.7,0.82
41,0.0009619435722790177,1.720709342956543,0.51,0.72,0.83
42,0.0009455087117679744,1.55087158203125,0.55,0.78,0.9
43,0.0009263274501688283,1.3191102981567382,0.61,0.84,0.91
44,0.0009045180463377549,1.3038571929931642,0.6,0.86,0.88
45,0.0008802149625017355,1.1950841522216797,0.62,0.85,0.94
46,0.0008535680352542143,0.8611708068847657,0.71,0.92,0.97
47,0.0008247415517626753,0.9167325973510743,0.74,0.89,0.95
48,0.0007939132368836219,0.8509714889526367,0.73,0.89,0.93
49,0.0007612731574297385,0.620451545715332,0.81,0.97,0.98
50,0.0007270225503447864,0.80232816696167,0.74,0.94,0.95
